UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
402,P00402,H,302.78,309.46,1657.0,34.91,104,0,No Failure
403,P00403,M,301.84,309.73,1169.0,31.54,209,1,Machine Failure
404,P00404,H,296.86,312.06,1401.0,34.15,202,1,Machine Failure
405,P00405,L,298.02,306.68,1266.0,35.21,175,0,No Failure
406,P00406,H,301.88,312.3,1899.0,43.59,1,0,No Failure
407,P00407,L,298.04,307.86,1141.0,63.49,203,1,Machine Failure
408,P00408,L,299.55,309.6,1768.0,32.84,53,0,No Failure
409,P00409,H,301.1,309.36,1768.0,35.83,5,0,No Failure
410,P00410,L,298.06,310.88,2049.0,39.37,106,1,Machine Failure
411,P00411,L,300.21,307.6,1377.0,43.96,167,0,No Failure
412,P00412,H,297.33,310.69,1714.0,42.64,235,1,Machine Failure
413,P00413,H,298.8,313.04,2184.0,52.84,220,1,Machine Failure
414,P00414,M,300.64,307.96,1315.0,15.74,122,0,No Failure
415,P00415,M,296.81,310.28,1039.0,16.13,221,1,Machine Failure
416,P00416,M,300.88,309.01,936.0,35.04,1,0,No Failure
417,P00417,L,299.96,310.64,1714.0,50.97,200,0,No Failure
418,P00418,L,301.1,310.03,935.0,24.34,110,0,No Failure
419,P00419,M,300.45,309.04,1388.0,9.92,1,0,No Failure
420,P00420,M,302.73,310.73,1631.0,45.71,92,0,No Failure
421,P00421,M,300.25,312.71,1556.0,42.44,224,1,Machine Failure
422,P00422,M,299.14,309.71,1628.0,29.1,201,1,Machine Failure
423,P00423,L,300.24,311.08,1567.0,30.14,225,1,Machine Failure
424,P00424,M,301.09,308.06,1884.0,30.3,235,1,Machine Failure
425,P00425,L,300.1,308.57,1214.0,41.11,182,0,No Failure
426,P00426,M,300.08,310.71,1297.0,33.74,199,0,No Failure
427,P00427,M,298.6,312.23,1268.0,44.94,100,0,No Failure
428,P00428,H,298.67,310.53,1749.0,11.45,245,1,Machine Failure
429,P00429,L,297.19,309.53,1770.0,31.43,187,0,No Failure
430,P00430,L,303.5,310.0,1635.0,28.74,96,0,No Failure
431,P00431,L,297.51,308.12,1855.0,37.44,110,0,No Failure
432,P00432,M,298.61,310.91,1147.0,34.62,5,0,No Failure
433,P00433,M,298.56,311.32,2000.0,47.98,235,1,Machine Failure
434,P00434,L,301.79,309.32,1957.0,21.41,126,0,No Failure
435,P00435,L,299.41,309.29,1721.0,40.45,103,0,No Failure
436,P00436,M,302.5,310.4,2035.0,45.58,236,1,Machine Failure
437,P00437,L,298.65,309.34,1003.0,58.57,146,1,Machine Failure
438,P00438,H,300.56,309.9,1343.0,35.18,223,1,Machine Failure
439,P00439,M,298.33,313.15,1279.0,43.24,154,0,No Failure
440,P00440,L,304.29,309.63,1716.0,21.96,0,0,No Failure
441,P00441,L,297.62,309.46,1185.0,16.08,234,1,Machine Failure
442,P00442,H,300.62,309.03,1727.0,48.45,243,1,Machine Failure
443,P00443,L,301.27,311.12,1911.0,39.94,32,0,No Failure
444,P00444,L,300.83,309.73,1709.0,51.79,39,0,No Failure
445,P00445,H,299.63,309.03,1585.0,26.27,31,0,No Failure
446,P00446,H,299.74,311.98,1204.0,45.2,196,0,No Failure
447,P00447,H,300.09,312.13,1246.0,58.69,16,1,Machine Failure
448,P00448,M,299.71,309.1,1875.0,44.2,125,0,No Failure
449,P00449,L,301.93,307.2,1734.0,42.77,7,0,No Failure
450,P00450,L,304.42,311.51,1488.0,40.09,56,0,No Failure
451,P00451,M,298.89,308.97,1375.0,24.29,41,0,No Failure
452,P00452,M,297.26,311.19,892.0,53.56,97,0,No Failure
453,P00453,M,299.82,307.04,1179.0,33.89,136,0,No Failure
454,P00454,H,305.16,311.34,2073.0,45.04,119,1,Machine Failure
455,P00455,L,298.39,308.18,1116.0,24.37,86,0,No Failure
456,P00456,M,303.28,311.1,1557.0,28.21,162,0,No Failure
457,P00457,L,303.36,310.02,1802.0,54.35,241,1,Machine Failure
458,P00458,M,298.89,308.57,1124.0,36.53,198,0,No Failure
459,P00459,L,301.14,309.39,1555.0,54.53,206,1,Machine Failure
460,P00460,L,303.26,311.03,1781.0,39.22,180,0,No Failure
461,P00461,L,299.24,310.16,1504.0,21.58,53,0,No Failure
462,P00462,M,299.59,310.88,2361.0,48.92,83,1,Machine Failure
463,P00463,M,298.84,312.96,999.0,34.1,241,1,Machine Failure
464,P00464,M,297.97,307.65,1818.0,46.99,24,0,No Failure
465,P00465,H,298.7,312.43,1448.0,40.25,66,0,No Failure
466,P00466,L,297.55,310.16,1732.0,24.57,189,0,No Failure
467,P00467,L,300.07,308.65,1632.0,41.64,182,0,No Failure
468,P00468,H,298.46,308.0,1280.0,61.96,173,1,Machine Failure
469,P00469,L,300.47,309.72,1569.0,44.93,151,0,No Failure
470,P00470,H,296.89,311.38,943.0,39.42,225,1,Machine Failure
471,P00471,L,300.66,309.81,1681.0,50.75,45,0,No Failure
472,P00472,H,301.67,312.27,1589.0,42.11,21,0,No Failure
473,P00473,L,296.01,307.82,1692.0,42.1,138,0,No Failure
474,P00474,H,300.75,309.98,1817.0,29.08,175,0,No Failure
475,P00475,M,302.46,308.12,1610.0,42.34,7,0,No Failure
476,P00476,H,297.58,310.55,1544.0,50.35,38,0,No Failure
477,P00477,L,303.35,311.33,1236.0,31.64,234,1,Machine Failure
478,P00478,M,300.84,309.37,1286.0,54.24,162,0,No Failure
479,P00479,H,298.59,306.09,1856.0,39.08,48,0,No Failure
480,P00480,M,299.89,310.3,1931.0,31.12,45,0,No Failure
481,P00481,M,301.12,310.66,1429.0,49.98,37,0,No Failure
482,P00482,M,300.15,310.61,1514.0,37.13,135,0,No Failure
483,P00483,M,301.08,311.85,1229.0,47.6,53,0,No Failure
484,P00484,M,298.16,308.39,1852.0,37.08,164,0,No Failure
485,P00485,M,300.34,311.02,1700.0,39.4,218,1,Machine Failure
486,P00486,H,297.17,311.79,2082.0,44.94,91,1,Machine Failure
487,P00487,L,299.78,307.33,1237.0,42.91,39,0,No Failure
488,P00488,L,298.19,310.48,1387.0,20.04,33,0,No Failure
489,P00489,H,298.53,309.24,1569.0,28.79,95,0,No Failure
490,P00490,H,302.47,309.88,1694.0,49.29,78,0,No Failure
491,P00491,M,302.18,310.52,1435.0,38.68,235,1,Machine Failure
492,P00492,M,301.22,309.27,1238.0,34.76,126,0,No Failure
493,P00493,L,297.82,308.99,1764.0,26.41,16,0,No Failure
494,P00494,L,299.37,310.05,1716.0,29.2,160,0,No Failure
495,P00495,M,302.43,308.37,1225.0,19.78,174,0,No Failure
496,P00496,L,300.28,308.37,1907.0,38.99,109,0,No Failure
497,P00497,M,304.64,311.02,1851.0,34.02,51,0,No Failure
498,P00498,L,300.79,308.28,1540.0,30.33,117,0,No Failure
499,P00499,H,300.38,311.0,1524.0,39.32,207,1,Machine Failure
500,P00500,H,299.38,310.69,1666.0,43.64,220,1,Machine Failure
501,P00501,M,300.27,307.41,1241.0,60.93,8,1,Machine Failure
502,P00502,M,299.7,308.98,1509.0,24.88,32,0,No Failure
503,P00503,L,301.42,311.79,854.0,51.59,187,0,No Failure
504,P00504,H,301.91,308.53,1763.0,49.73,112,0,No Failure
505,P00505,M,298.43,309.3,1032.0,32.21,220,1,Machine Failure
506,P00506,L,297.34,310.69,1951.0,42.03,204,1,Machine Failure
507,P00507,H,296.33,311.18,1401.0,35.42,148,0,No Failure
508,P00508,H,301.02,309.62,1436.0,41.86,185,0,No Failure
509,P00509,H,297.79,309.1,1312.0,55.09,84,1,Machine Failure
510,P00510,M,295.69,312.13,1414.0,46.06,196,0,No Failure
511,P00511,M,300.78,312.61,1926.0,45.09,9,0,No Failure
512,P00512,M,304.99,311.47,754.0,35.7,5,0,No Failure
513,P00513,H,299.99,310.13,1883.0,25.16,247,1,Machine Failure
514,P00514,H,301.68,308.79,1601.0,37.92,114,0,No Failure
515,P00515,L,300.16,308.75,1138.0,52.07,120,0,No Failure
516,P00516,L,299.8,310.78,1177.0,24.73,140,0,No Failure
517,P00517,L,301.84,310.63,2003.0,29.45,64,1,Machine Failure
518,P00518,H,299.42,312.1,1216.0,41.26,19,0,No Failure
519,P00519,H,300.53,310.98,1154.0,30.15,56,0,No Failure
520,P00520,L,300.64,307.75,1841.0,32.07,238,1,Machine Failure
521,P00521,M,298.66,311.58,1602.0,35.76,45,0,No Failure
522,P00522,L,301.98,308.5,1219.0,26.34,135,0,No Failure
523,P00523,H,299.65,309.42,1565.0,30.26,9,0,No Failure
524,P00524,H,298.49,310.38,1192.0,47.03,200,0,No Failure
525,P00525,H,301.07,312.99,1830.0,26.93,112,0,No Failure
526,P00526,M,298.2,314.66,1818.0,24.02,232,1,Machine Failure
527,P00527,M,300.06,310.91,1660.0,33.7,194,0,No Failure
528,P00528,L,299.98,309.73,1608.0,47.32,138,0,No Failure
529,P00529,L,302.17,310.8,2028.0,38.03,11,1,Machine Failure
530,P00530,H,300.95,311.33,1500.0,35.35,137,0,No Failure
531,P00531,H,299.95,309.52,1145.0,40.44,152,0,No Failure
532,P00532,H,301.64,312.69,1635.0,22.54,176,0,No Failure
533,P00533,H,302.78,310.35,2126.0,44.95,176,1,Machine Failure
534,P00534,M,301.12,310.75,1196.0,43.83,216,1,Machine Failure
535,P00535,M,300.02,311.0,1392.0,35.91,10,0,No Failure
536,P00536,H,297.38,310.63,1625.0,50.06,189,0,No Failure
537,P00537,H,297.87,311.26,1484.0,28.73,117,0,No Failure
538,P00538,L,299.39,309.07,1205.0,51.28,163,0,No Failure
539,P00539,M,298.78,309.16,1837.0,41.54,38,0,No Failure
540,P00540,L,299.63,308.35,2196.0,36.63,52,1,Machine Failure
541,P00541,H,300.11,310.66,1559.0,39.8,217,1,Machine Failure
542,P00542,M,301.06,311.17,1229.0,38.93,205,1,Machine Failure
543,P00543,L,299.86,310.69,1035.0,52.2,230,1,Machine Failure
544,P00544,M,300.97,312.51,1577.0,29.23,55,0,No Failure
545,P00545,M,300.13,309.99,1831.0,32.37,103,0,No Failure
546,P00546,L,296.05,311.0,1643.0,50.36,128,0,No Failure
547,P00547,L,298.12,308.36,1499.0,34.04,55,0,No Failure
548,P00548,M,299.71,309.42,1323.0,49.01,117,0,No Failure
549,P00549,M,297.58,311.04,1172.0,56.99,131,1,Machine Failure
550,P00550,M,301.2,311.27,1750.0,35.98,29,0,No Failure
551,P00551,M,303.06,309.56,1774.0,46.81,11,0,No Failure
552,P00552,H,302.44,309.89,1036.0,28.46,247,1,Machine Failure
553,P00553,M,299.57,307.72,1977.0,47.55,34,0,No Failure
554,P00554,M,302.98,309.46,1672.0,41.99,76,0,No Failure
555,P00555,H,300.3,311.34,1920.0,44.73,179,0,No Failure
556,P00556,M,299.33,310.86,1097.0,33.54,158,0,No Failure
557,P00557,L,298.77,310.75,1090.0,23.39,101,0,No Failure
558,P00558,L,299.4,310.07,1455.0,45.03,234,1,Machine Failure
559,P00559,M,299.22,310.01,1651.0,19.37,86,0,No Failure
560,P00560,M,300.34,309.01,2039.0,36.83,195,1,Machine Failure
561,P00561,M,300.32,311.05,1712.0,49.41,51,0,No Failure
562,P00562,L,300.01,310.63,1427.0,41.92,79,0,No Failure
563,P00563,L,300.87,310.74,1192.0,59.48,134,1,Machine Failure
564,P00564,L,302.38,309.21,1869.0,50.25,21,0,No Failure
565,P00565,L,301.9,306.77,1211.0,33.46,220,1,Machine Failure
566,P00566,M,297.03,311.65,1989.0,40.27,74,0,No Failure
567,P00567,L,294.89,309.28,1415.0,39.53,183,0,No Failure
568,P00568,M,301.87,308.71,1977.0,24.18,224,1,Machine Failure
569,P00569,H,297.27,311.04,1704.0,30.6,57,0,No Failure
570,P00570,L,299.55,309.41,1459.0,34.39,92,0,No Failure
571,P00571,M,297.66,311.59,1344.0,19.64,191,0,No Failure
572,P00572,M,296.4,310.93,1398.0,40.47,102,0,No Failure
573,P00573,L,301.08,311.03,1628.0,37.51,139,0,No Failure
574,P00574,M,301.52,307.95,1523.0,23.27,6,0,No Failure
575,P00575,H,298.85,311.82,1322.0,44.04,127,0,No Failure
576,P00576,H,294.82,310.39,1450.0,47.16,54,0,No Failure
577,P00577,L,298.91,309.45,1524.0,42.27,230,1,Machine Failure
578,P00578,H,300.78,310.22,861.0,36.76,105,0,No Failure
579,P00579,M,297.04,307.34,1637.0,45.91,61,0,No Failure
580,P00580,L,300.37,310.61,1206.0,46.8,239,1,Machine Failure
581,P00581,M,299.97,308.46,1154.0,43.07,89,0,No Failure
582,P00582,H,301.16,307.97,994.0,31.75,231,1,Machine Failure
583,P00583,M,300.24,307.72,962.0,42.77,200,0,No Failure
584,P00584,L,298.05,311.67,1093.0,51.95,232,1,Machine Failure
585,P00585,M,302.39,309.06,1287.0,34.03,97,0,No Failure
586,P00586,L,299.68,312.3,2086.0,60.98,236,1,Machine Failure
587,P00587,L,299.95,309.2,1342.0,34.74,76,0,No Failure
588,P00588,L,298.13,307.44,1553.0,40.32,182,0,No Failure
589,P00589,L,299.11,308.33,1620.0,33.28,118,0,No Failure
590,P00590,L,298.23,311.85,1539.0,42.23,35,0,No Failure
591,P00591,L,299.65,309.77,1477.0,22.58,88,0,No Failure
592,P00592,M,303.42,309.18,1141.0,34.54,151,0,No Failure
593,P00593,L,297.26,310.24,1935.0,29.08,171,0,No Failure
594,P00594,L,296.77,310.75,2042.0,41.35,144,1,Machine Failure
595,P00595,H,302.94,311.68,995.0,49.94,129,0,No Failure
596,P00596,M,299.58,312.17,1193.0,46.46,140,0,No Failure
597,P00597,M,298.66,309.46,1416.0,16.28,158,0,No Failure
598,P00598,L,302.08,308.01,1211.0,60.42,92,1,Machine Failure
599,P00599,L,298.79,309.38,1652.0,42.95,113,0,No Failure
600,P00600,L,303.65,310.39,1282.0,32.24,27,0,No Failure
601,P00601,L,301.36,308.55,2150.0,41.57,187,1,Machine Failure
602,P00602,L,299.02,308.56,1857.0,41.76,154,0,No Failure
603,P00603,L,304.31,310.52,1564.0,33.33,142,0,No Failure
604,P00604,L,298.79,309.93,1808.0,41.98,222,1,Machine Failure
605,P00605,L,301.48,310.05,1832.0,33.93,231,1,Machine Failure
606,P00606,M,300.6,308.86,1331.0,35.96,206,1,Machine Failure
607,P00607,L,302.6,309.65,1255.0,33.14,32,0,No Failure
608,P00608,L,303.12,308.61,1523.0,25.67,19,0,No Failure
609,P00609,M,300.06,311.34,1758.0,41.46,169,0,No Failure
610,P00610,M,298.49,311.55,1542.0,45.85,139,0,No Failure
611,P00611,L,300.92,307.23,1027.0,45.15,100,0,No Failure
612,P00612,M,298.64,308.61,1259.0,48.2,200,0,No Failure
613,P00613,M,304.03,307.76,1478.0,43.24,22,0,No Failure
614,P00614,L,300.27,309.02,1477.0,34.67,199,0,No Failure
615,P00615,H,299.27,309.87,2092.0,48.4,223,1,Machine Failure
616,P00616,H,300.37,307.83,1084.0,26.42,111,0,No Failure
617,P00617,L,297.31,308.62,1652.0,30.99,13,0,No Failure
618,P00618,L,298.06,308.49,1947.0,30.36,90,0,No Failure
619,P00619,H,302.4,310.31,2181.0,50.8,152,1,Machine Failure
620,P00620,M,298.69,310.1,1379.0,49.43,76,0,No Failure
621,P00621,L,297.91,308.92,1647.0,44.87,246,1,Machine Failure
622,P00622,L,301.07,310.27,1671.0,50.72,84,0,No Failure
623,P00623,L,302.37,309.18,1559.0,31.21,108,0,No Failure
624,P00624,M,301.44,309.59,1470.0,43.49,30,0,No Failure
625,P00625,M,301.99,312.51,1631.0,38.75,228,1,Machine Failure
626,P00626,L,298.49,312.01,740.0,48.47,239,1,Machine Failure
627,P00627,M,297.16,308.05,1705.0,38.85,121,0,No Failure
628,P00628,M,303.0,311.24,1538.0,36.15,106,0,No Failure
629,P00629,L,299.35,311.22,1433.0,45.41,53,0,No Failure
630,P00630,L,299.5,308.28,2114.0,48.76,132,1,Machine Failure
631,P00631,M,302.66,311.23,1298.0,33.32,140,0,No Failure
632,P00632,H,301.11,312.31,1379.0,39.39,155,0,No Failure
633,P00633,M,300.91,308.32,2097.0,29.42,42,1,Machine Failure
634,P00634,M,304.33,308.62,1250.0,15.02,88,0,No Failure
635,P00635,L,298.71,311.53,1335.0,42.0,114,0,No Failure
636,P00636,M,301.86,310.41,1456.0,46.09,98,0,No Failure
637,P00637,M,300.11,310.83,1752.0,42.62,46,0,No Failure
638,P00638,L,300.54,310.51,1562.0,20.5,230,1,Machine Failure
639,P00639,L,303.06,310.59,1112.0,36.49,70,0,No Failure
640,P00640,L,301.02,308.01,1340.0,17.82,165,0,No Failure
641,P00641,L,301.08,311.57,1318.0,53.7,223,1,Machine Failure
642,P00642,L,302.15,311.75,1477.0,29.14,66,0,No Failure
643,P00643,L,299.27,309.66,1628.0,52.55,61,0,No Failure
644,P00644,L,298.32,309.93,1625.0,49.46,108,0,No Failure
645,P00645,L,297.91,307.7,967.0,30.99,166,0,No Failure
646,P00646,H,296.07,310.77,1819.0,28.67,36,0,No Failure
647,P00647,M,304.11,310.86,1576.0,43.5,118,0,No Failure
648,P00648,M,297.79,309.91,1915.0,31.56,241,1,Machine Failure
649,P00649,M,299.56,311.69,1633.0,41.02,85,0,No Failure
650,P00650,M,299.45,309.5,1830.0,35.17,125,0,No Failure
651,P00651,L,300.61,310.85,1640.0,22.19,135,0,No Failure
652,P00652,M,301.63,308.47,1904.0,17.7,208,1,Machine Failure
653,P00653,M,301.72,309.96,1657.0,42.27,51,0,No Failure
654,P00654,M,298.83,309.74,1471.0,34.38,90,0,No Failure
655,P00655,M,299.67,310.34,2182.0,34.47,32,1,Machine Failure
656,P00656,L,300.57,309.45,1767.0,46.96,237,1,Machine Failure
657,P00657,L,299.5,309.8,1672.0,51.73,80,0,No Failure
658,P00658,L,303.21,311.24,1117.0,37.27,41,0,No Failure
659,P00659,M,300.98,309.34,1114.0,36.59,203,1,Machine Failure
660,P00660,M,301.47,307.59,1588.0,45.0,111,0,No Failure
661,P00661,L,301.33,312.62,1544.0,26.43,237,1,Machine Failure
662,P00662,H,302.35,312.07,1316.0,42.23,125,0,No Failure
663,P00663,M,300.36,308.06,1542.0,45.52,154,0,No Failure
664,P00664,L,297.41,311.03,1977.0,46.8,239,1,Machine Failure
665,P00665,L,300.8,309.25,1709.0,20.63,135,0,No Failure
666,P00666,L,298.7,310.4,1158.0,32.39,150,0,No Failure
667,P00667,L,298.94,310.44,1467.0,31.22,105,0,No Failure
668,P00668,L,301.17,309.65,1259.0,41.0,124,0,No Failure
669,P00669,L,302.48,308.82,1384.0,44.81,112,0,No Failure
670,P00670,L,300.04,308.96,1376.0,54.97,63,0,No Failure
671,P00671,L,300.62,308.63,1357.0,35.05,122,0,No Failure
672,P00672,H,303.4,308.75,1123.0,35.02,220,1,Machine Failure
673,P00673,L,300.48,309.9,1462.0,51.5,113,0,No Failure
674,P00674,M,305.2,308.93,1332.0,42.97,19,0,No Failure
675,P00675,M,301.13,311.02,621.0,52.68,15,0,No Failure
676,P00676,H,296.48,312.23,2116.0,42.89,144,1,Machine Failure
677,P00677,L,301.51,309.13,1827.0,28.43,207,1,Machine Failure
678,P00678,L,300.76,310.36,1387.0,26.67,18,0,No Failure
679,P00679,H,302.58,310.75,1506.0,24.48,119,0,No Failure
680,P00680,H,301.35,310.71,1149.0,46.62,247,1,Machine Failure
681,P00681,H,299.72,310.11,2009.0,51.89,135,1,Machine Failure
682,P00682,L,297.55,311.11,2069.0,58.49,165,1,Machine Failure
683,P00683,L,299.58,310.72,1547.0,48.43,37,0,No Failure
684,P00684,M,298.3,308.14,1807.0,51.63,180,0,No Failure
685,P00685,H,298.84,311.3,1553.0,34.2,92,0,No Failure
686,P00686,M,301.18,311.33,1099.0,28.44,104,0,No Failure
687,P00687,M,303.34,308.86,1376.0,48.5,99,0,No Failure
688,P00688,L,300.79,310.06,1540.0,44.18,89,0,No Failure
689,P00689,M,297.61,311.02,1364.0,41.07,158,0,No Failure
690,P00690,L,300.89,309.69,1434.0,43.87,43,0,No Failure
691,P00691,L,302.39,311.61,1473.0,43.23,187,0,No Failure
692,P00692,M,298.78,313.55,1476.0,52.84,75,0,No Failure
693,P00693,M,299.73,308.82,1516.0,52.95,246,1,Machine Failure
694,P00694,L,300.03,307.93,1182.0,45.44,144,0,No Failure
695,P00695,L,298.43,310.46,1285.0,48.46,78,0,No Failure
696,P00696,M,301.3,311.08,1115.0,45.14,72,0,No Failure
697,P00697,L,299.76,309.65,1793.0,35.39,166,0,No Failure
698,P00698,M,300.84,312.18,868.0,47.57,169,0,No Failure
699,P00699,L,298.23,307.99,1846.0,26.06,175,0,No Failure
700,P00700,M,299.13,311.04,1916.0,50.54,139,0,No Failure
701,P00701,M,301.44,309.09,1409.0,28.05,95,0,No Failure
702,P00702,L,299.25,312.58,719.0,42.86,88,0,No Failure
703,P00703,L,303.45,312.99,1392.0,31.55,102,0,No Failure
704,P00704,L,299.2,308.85,1481.0,45.53,145,0,No Failure
705,P00705,L,300.45,309.18,1197.0,39.66,206,1,Machine Failure
706,P00706,H,301.87,311.29,1345.0,24.05,223,1,Machine Failure
707,P00707,L,297.16,309.42,1959.0,44.21,5,0,No Failure
708,P00708,H,296.48,309.93,1699.0,34.22,121,0,No Failure
709,P00709,L,296.95,310.04,1223.0,48.81,235,1,Machine Failure
710,P00710,M,302.53,307.12,1021.0,40.01,170,0,No Failure
711,P00711,M,298.9,309.98,1402.0,43.95,115,0,No Failure
712,P00712,M,305.12,308.97,1436.0,30.42,162,0,No Failure
713,P00713,M,298.87,309.26,1649.0,34.11,225,1,Machine Failure
714,P00714,M,300.37,312.17,1339.0,35.41,229,1,Machine Failure
715,P00715,L,303.08,308.12,1653.0,48.57,247,1,Machine Failure
716,P00716,H,304.01,311.22,2081.0,56.77,181,1,Machine Failure
717,P00717,H,304.12,309.58,1745.0,31.95,248,1,Machine Failure
718,P00718,H,302.42,309.58,1486.0,50.77,61,0,No Failure
719,P00719,L,302.05,311.19,1445.0,18.3,196,0,No Failure
720,P00720,M,301.19,310.51,1393.0,28.06,209,1,Machine Failure
721,P00721,H,301.56,310.86,1854.0,30.41,143,0,No Failure
722,P00722,L,298.9,311.45,1312.0,26.47,135,0,No Failure
723,P00723,L,298.36,309.5,1514.0,24.16,88,0,No Failure
724,P00724,M,299.99,309.08,1515.0,44.13,95,0,No Failure
725,P00725,M,299.66,308.37,1349.0,37.86,125,0,No Failure
726,P00726,H,299.09,308.76,1088.0,43.79,89,0,No Failure
727,P00727,L,301.39,314.42,1597.0,46.9,243,1,Machine Failure
728,P00728,M,301.91,311.87,1482.0,42.66,85,0,No Failure
729,P00729,L,300.18,307.97,1650.0,46.58,158,0,No Failure
730,P00730,L,302.96,308.02,1340.0,39.3,234,1,Machine Failure
731,P00731,L,297.72,310.72,1866.0,28.13,137,0,No Failure
732,P00732,H,299.61,310.82,1237.0,50.58,183,0,No Failure
733,P00733,M,298.57,310.82,2014.0,34.11,120,1,Machine Failure
734,P00734,M,296.27,309.62,976.0,30.64,75,0,No Failure
735,P00735,L,299.83,309.81,1630.0,38.22,244,1,Machine Failure
736,P00736,H,299.76,310.49,1643.0,30.87,91,0,No Failure
737,P00737,L,303.03,310.13,1261.0,35.83,69,0,No Failure
738,P00738,H,301.26,306.67,1627.0,43.44,147,0,No Failure
739,P00739,M,297.95,309.66,1884.0,43.48,132,0,No Failure
740,P00740,L,303.71,308.72,835.0,31.02,22,0,No Failure
741,P00741,M,302.44,310.26,1651.0,35.12,136,0,No Failure
742,P00742,L,301.16,314.48,752.0,50.74,57,0,No Failure
743,P00743,M,299.55,310.55,1210.0,44.96,186,0,No Failure
744,P00744,M,298.08,309.53,1989.0,60.75,220,1,Machine Failure
745,P00745,L,299.26,311.38,1325.0,51.8,207,1,Machine Failure
746,P00746,H,302.18,310.72,1148.0,51.44,181,0,No Failure
747,P00747,L,303.77,310.63,1441.0,26.12,45,0,No Failure
748,P00748,M,303.09,310.91,2120.0,47.64,21,1,Machine Failure
749,P00749,H,299.02,313.08,950.0,39.47,191,0,No Failure
750,P00750,M,297.76,308.3,1185.0,34.49,7,0,No Failure
751,P00751,L,300.28,310.71,1949.0,41.68,122,0,No Failure
752,P00752,H,296.46,308.61,2057.0,49.45,19,1,Machine Failure
753,P00753,M,300.65,310.83,1469.0,45.01,178,0,No Failure
754,P00754,L,299.7,308.62,1128.0,31.22,77,0,No Failure
755,P00755,L,299.07,309.37,2129.0,47.42,38,1,Machine Failure
756,P00756,M,296.81,309.56,1978.0,33.62,36,0,No Failure
757,P00757,M,301.03,311.46,1704.0,42.17,177,0,No Failure
758,P00758,M,298.93,311.38,1256.0,36.97,161,0,No Failure
759,P00759,H,297.66,308.13,1485.0,37.81,74,0,No Failure
760,P00760,M,294.26,310.08,1452.0,47.66,117,0,No Failure
761,P00761,L,299.94,308.94,1599.0,29.6,103,0,No Failure
762,P00762,L,303.54,308.11,1935.0,59.45,160,1,Machine Failure
763,P00763,L,303.32,309.67,1764.0,21.79,30,0,No Failure
764,P00764,M,299.09,309.54,1177.0,34.02,122,0,No Failure
765,P00765,L,298.8,313.64,1913.0,43.7,53,0,No Failure
766,P00766,M,300.94,310.65,1594.0,45.84,171,0,No Failure
767,P00767,M,298.0,307.93,1706.0,39.0,33,0,No Failure
768,P00768,H,300.6,309.15,1940.0,39.43,241,1,Machine Failure
769,P00769,L,301.53,311.53,1167.0,44.11,198,0,No Failure
770,P00770,H,302.45,313.13,1489.0,37.69,121,0,No Failure
771,P00771,L,299.8,307.62,1341.0,53.93,112,0,No Failure
772,P00772,H,299.59,307.18,1030.0,48.39,245,1,Machine Failure
773,P00773,L,298.24,312.81,1604.0,48.73,61,0,No Failure
774,P00774,L,298.35,310.58,2253.0,30.34,22,1,Machine Failure
775,P00775,M,299.55,308.7,948.0,39.21,45,0,No Failure
776,P00776,L,300.73,310.8,1490.0,37.0,55,0,No Failure
777,P00777,L,301.83,306.05,1692.0,29.94,134,0,No Failure
778,P00778,M,298.39,310.01,1537.0,43.6,117,0,No Failure
779,P00779,M,302.99,310.49,1466.0,34.62,216,1,Machine Failure
780,P00780,M,299.46,311.39,1110.0,46.55,188,0,No Failure
781,P00781,M,299.96,308.48,1570.0,29.3,130,0,No Failure
782,P00782,M,298.51,310.13,1273.0,57.19,165,1,Machine Failure
783,P00783,L,295.15,308.61,843.0,31.04,211,1,Machine Failure
784,P00784,L,301.77,310.38,1858.0,42.19,161,0,No Failure
785,P00785,L,301.47,308.66,1788.0,47.92,112,0,No Failure
786,P00786,H,299.44,309.39,1515.0,34.29,43,0,No Failure
787,P00787,M,300.13,308.51,1569.0,48.52,127,0,No Failure
788,P00788,M,301.03,310.98,1822.0,27.71,107,0,No Failure
789,P00789,M,296.87,311.29,1567.0,54.52,157,0,No Failure
790,P00790,H,298.94,309.65,1771.0,40.14,16,0,No Failure
791,P00791,L,301.59,310.06,1411.0,34.04,58,0,No Failure
792,P00792,M,297.49,307.83,1894.0,37.01,137,0,No Failure
793,P00793,M,300.59,309.55,1596.0,48.09,98,0,No Failure
794,P00794,M,297.29,309.92,1558.0,34.16,83,0,No Failure
795,P00795,L,300.93,313.93,1119.0,32.51,145,0,No Failure
796,P00796,H,299.93,308.33,1586.0,37.78,44,0,No Failure
797,P00797,H,296.77,312.2,1250.0,28.23,107,0,No Failure
798,P00798,M,302.33,311.5,1309.0,58.21,218,1,Machine Failure
799,P00799,M,298.53,310.42,1255.0,34.34,186,0,No Failure
800,P00800,H,298.38,312.64,1180.0,48.32,61,0,No Failure
801,P00801,M,300.4,310.56,2137.0,42.09,58,1,Machine Failure
802,P00802,L,302.3,310.58,1899.0,30.15,176,0,No Failure
803,P00803,M,297.97,309.92,2076.0,39.94,227,1,Machine Failure
804,P00804,M,300.12,311.84,1133.0,47.84,190,0,No Failure
